File Name			NS_miRQC1
Description			
Sample ID			1
Owner			NS
Sample Date			7/25/2012
File Version			1.7
Gene RLF			NS_H_MIR_V2
Comments			sample1
Endogenous1	hsa-miR-370	MIMAT0000722	21
Endogenous1	hsa-miR-371a-3p	MIMAT0000723	43
Endogenous1	hsa-miR-371a-5p	MIMAT0004687	33
Endogenous1	hsa-miR-371b-3p	MIMAT0019893	26
Endogenous1	hsa-miR-371b-5p	MIMAT0019892	19
Endogenous1	hsa-miR-372	MIMAT0000724	58
Endogenous1	hsa-miR-373-3p	MIMAT0000726	18
Endogenous1	hsa-miR-374a-5p	MIMAT0000727	1221
Endogenous1	hsa-miR-374b-5p	MIMAT0004955	621
Endogenous1	hsa-miR-374c-5p	MIMAT0018443	7
Endogenous1	hsa-miR-375	MIMAT0000728	365
Endogenous1	hsa-miR-376a-3p	MIMAT0000729	879
Endogenous1	hsa-miR-376b	MIMAT0002172	40
Endogenous1	hsa-miR-376c	MIMAT0000720	461
Endogenous1	hsa-miR-377-3p	MIMAT0000730	130
Endogenous1	hsa-miR-378a-3p+hsa-miR-378i	MIMAT0000732	241
Endogenous1	hsa-miR-378b	MIMAT0014999	12
Endogenous1	hsa-miR-378c	MIMAT0016847	8
Endogenous1	hsa-miR-378d	MIMAT0018926	28
Endogenous1	hsa-miR-378e	MIMAT0018927	1
Endogenous1	hsa-miR-378f	MIMAT0018932	18
Endogenous1	hsa-miR-378g	MIMAT0018937	46
Endogenous1	hsa-miR-378h	MIMAT0018984	15
Endogenous1	hsa-miR-379-5p	MIMAT0000733	75
Endogenous1	hsa-miR-380-3p	MIMAT0000735	18
Endogenous1	hsa-miR-381	MIMAT0000736	71
Endogenous1	hsa-miR-382-5p	MIMAT0000737	186
Endogenous1	hsa-miR-383	MIMAT0000738	39
Endogenous1	hsa-miR-384	MIMAT0001075	9
Endogenous1	hsa-miR-3928	MIMAT0018205	10
Endogenous1	hsa-miR-3934	MIMAT0018349	16
Endogenous1	hsa-miR-409-3p	MIMAT0001639	116
Endogenous1	hsa-miR-409-5p	MIMAT0001638	30
Endogenous1	hsa-miR-410	MIMAT0002171	112
Endogenous1	hsa-miR-411-5p	MIMAT0003329	60
Endogenous1	hsa-miR-412	MIMAT0002170	13
Endogenous1	hsa-miR-421	MIMAT0003339	51
Endogenous1	hsa-miR-422a	MIMAT0001339	30
Endogenous1	hsa-miR-423-3p	MIMAT0001340	72
Endogenous1	hsa-miR-423-5p	MIMAT0004748	133
Endogenous1	hsa-miR-424-5p	MIMAT0001341	548
Endogenous1	hsa-miR-425-5p	MIMAT0003393	84
Endogenous1	hsa-miR-4284	MIMAT0016915	48
Endogenous1	hsa-miR-4286	MIMAT0016916	243
Endogenous1	hsa-miR-429	MIMAT0001536	120
Endogenous1	hsa-miR-431-5p	MIMAT0001625	50
Endogenous1	hsa-miR-432-5p	MIMAT0002814	61
Endogenous1	hsa-miR-433	MIMAT0001627	61
Endogenous1	hsa-miR-4421	MIMAT0018934	32
Endogenous1	hsa-miR-4425	MIMAT0018940	11
Endogenous1	hsa-miR-4431	MIMAT0018947	18
Endogenous1	hsa-miR-4435	MIMAT0018951	11
Endogenous1	hsa-miR-4443	MIMAT0018961	37
Endogenous1	hsa-miR-4448	MIMAT0018967	10
Endogenous1	hsa-miR-4451	MIMAT0018973	12
Endogenous1	hsa-miR-4454	MIMAT0018976	10196
Endogenous1	hsa-miR-4455	MIMAT0018977	18
Endogenous1	hsa-miR-4458	MIMAT0018980	5
Endogenous1	hsa-miR-4461	MIMAT0018983	16
Endogenous1	hsa-miR-448	MIMAT0001532	34
Endogenous1	hsa-miR-4484	MIMAT0019018	5
Endogenous1	hsa-miR-4485	MIMAT0019019	5
Endogenous1	hsa-miR-4488	MIMAT0019022	58
Endogenous1	hsa-miR-449a	MIMAT0001541	68
Endogenous1	hsa-miR-449b-5p	MIMAT0003327	8
Endogenous1	hsa-miR-449c-5p	MIMAT0010251	18
Endogenous1	hsa-miR-4508	MIMAT0019045	12
Endogenous1	hsa-miR-450a-5p	MIMAT0001545	239
Endogenous1	hsa-miR-450b-3p	MIMAT0004910	8
Endogenous1	hsa-miR-450b-5p	MIMAT0004909	30
Endogenous1	hsa-miR-4516	MIMAT0019053	128
